Date : 2022-11-11 13:08:01
Directory : d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts
Total : 321 files,  -36928 codes, -3308 comments, -7331 blanks, all -47567 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMultiPositionType.cs                                        | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMusicPlaylistCallbackInfo.cs                                | C#        |        -38 |         -9 |        -12 |        -59 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMusicSettings.cs                                            | C#        |        -38 |         -9 |        -10 |        -57 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkMusicSyncCallbackInfo.cs                                    | C#        |        -54 |         -9 |        -20 |        -83 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkObjectInfo.cs                                               | C#        |        -47 |         -9 |        -16 |        -72 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkObstructionOcclusionValues.cs                               | C#        |        -45 |         -9 |        -15 |        -69 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkOutputSettings.cs                                           | C#        |        -59 |         -9 |        -18 |        -86 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPanningRule.cs                                              | C#        |         -6 |         -9 |         -2 |        -17 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPlaylist.cs                                                 | C#        |        -35 |         -9 |        -13 |        -57 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPlaylistArray.cs                                            | C#        |       -108 |         -9 |        -39 |       -156 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPlaylistItem.cs                                             | C#        |        -52 |         -9 |        -17 |        -78 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPluginType.cs                                               | C#        |        -13 |         -9 |         -2 |        -24 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPositioningData.cs                                          | C#        |        -52 |         -9 |        -12 |        -73 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPositioningInfo.cs                                          | C#        |        -74 |         -9 |        -28 |       -111 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkPreparationType.cs                                          | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkQueryRTPCValue.cs                                           | C#        |         -9 |         -9 |         -2 |        -20 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkRamp.cs                                                     | C#        |        -44 |         -9 |        -13 |        -66 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkReflectionPathInfo.cs                                       | C#        |        -56 |         -9 |        -20 |        -85 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkResourceMonitorDataSummary.cs                               | C#        |        -50 |         -9 |        -16 |        -75 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkRoomParams.cs                                               | C#        |        -54 |         -9 |        -18 |        -81 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkSegmentInfo.cs                                              | C#        |        -56 |         -9 |        -19 |        -84 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkSerializedCallbackHeader.cs                                 | C#        |        -50 |         -9 |        -14 |        -73 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkSourceChannelOrdering.cs                                    | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkSourceSettings.cs                                           | C#        |        -47 |         -9 |        -16 |        -72 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkSpatialAudioInitSettings.cs                                 | C#        |        -60 |         -9 |        -21 |        -90 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkSpeakerPanningType.cs                                       | C#        |         -7 |         -9 |         -2 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkStreamMgrSettings.cs                                        | C#        |        -36 |         -9 |         -9 |        -54 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkTaskContext.cs                                              | C#        |        -40 |         -9 |        -11 |        -60 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkTransform.cs                                                | C#        |        -47 |         -9 |        -19 |        -75 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AkTriangle.cs                                                 | C#        |        -51 |         -9 |        -18 |        -78 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Mac\AkCommunicationSettings_Mac.cs                                   | C#        |        -56 |         -9 |        -18 |        -83 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Mac\AkPlatformInitSettings_Mac.cs                                    | C#        |        -68 |         -9 |        -15 |        -92 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Mac\AkSoundEnginePINVOKE_Mac.cs                                      | C#        |     -2,359 |         -9 |         -5 |     -2,373 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Mac\AkSoundEngine_Mac.cs                                             | C#        |     -1,029 |        -21 |       -400 |     -1,450 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Mac\AkThreadProperties_Mac.cs                                        | C#        |        -46 |         -9 |        -14 |        -69 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Mac\AkUnityPlatformSpecificSettings_Mac.cs                           | C#        |        -36 |         -9 |         -9 |        -54 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Windows\AkCommunicationSettings_Windows.cs                           | C#        |        -56 |         -9 |        -18 |        -83 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Windows\AkPlatformInitSettings_Windows.cs                            | C#        |        -72 |         -9 |        -17 |        -98 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Windows\AkSoundEnginePINVOKE_Windows.cs                              | C#        |     -2,373 |         -9 |         -5 |     -2,387 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Windows\AkSoundEngine_Windows.cs                                     | C#        |     -1,036 |        -21 |       -405 |     -1,462 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Windows\AkThreadProperties_Windows.cs                                | C#        |        -44 |         -9 |        -13 |        -66 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Windows\AkUnityPlatformSpecificSettings_Windows.cs                   | C#        |        -36 |         -9 |         -9 |        -54 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkAudioInputManager.cs                                      | C#        |        -85 |        -47 |        -15 |       -147 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkBankManager.cs                                            | C#        |       -239 |        -20 |        -46 |       -305 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkBasePathGetter.cs                                         | C#        |       -201 |        -38 |        -45 |       -284 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkCallbackManager.cs                                        | C#        |       -314 |        -32 |        -74 |       -420 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkCommonPlatformSettings.cs                                 | C#        |       -493 |        -18 |       -116 |       -627 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkEnumFlagAttribute.cs                                      | C#        |        -22 |          0 |         -3 |        -25 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkLogger.cs                                                 | C#        |        -49 |         -7 |        -11 |        -67 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkShowOnlyAttribute.cs                                      | C#        |        -20 |          0 |         -2 |        -22 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkSoundEngine.cs                                            | C#        |       -776 |        -74 |       -335 |     -1,185 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkUtilities.cs                                              | C#        |       -689 |        -59 |       -156 |       -904 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkVector.cs                                                 | C#        |        -10 |          0 |         -6 |        -16 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkVertex.cs                                                 | C#        |        -23 |         -1 |        -14 |        -38 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkWwiseEditorSettings.cs                                    | C#        |       -416 |         -1 |        -66 |       -483 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkWwiseFileWatcher.cs                                       | C#        |       -130 |         -7 |        -34 |       -171 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkWwiseInitializationSettings.cs                            | C#        |     -1,077 |         -9 |       -226 |     -1,312 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkAcousticSurfaceArray.cs                            | C#        |        -24 |         -5 |         -5 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkAuxSendArray.cs                                    | C#        |       -108 |         -5 |        -24 |       -137 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkBaseArray.cs                                       | C#        |        -47 |        -13 |        -17 |        -77 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkChannelEmitterArray.cs                             | C#        |        -70 |         -7 |         -9 |        -86 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkDeviceDescriptionArray.cs                          | C#        |        -24 |         -5 |         -5 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkDiffractionPathInfoArray.cs                        | C#        |        -20 |         -5 |         -4 |        -29 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkExternalSourceInfoArray.cs                         | C#        |        -28 |         -5 |         -6 |        -39 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkMIDIPostArray.cs                                   | C#        |        -59 |         -5 |        -13 |        -77 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkObjectInfoArray.cs                                 | C#        |        -24 |         -5 |         -5 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkObstructionOcclusionValuesArray.cs                 | C#        |        -24 |         -5 |         -5 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkPositionArray.cs                                   | C#        |        -67 |         -6 |         -9 |        -82 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkReflectionPathInfoArray.cs                         | C#        |        -20 |         -5 |         -4 |        -29 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkSourceSettingsArray.cs                             | C#        |        -24 |         -5 |         -5 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkTriangleArray.cs                                   | C#        |        -24 |         -5 |         -5 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Mac\AkMacBasePathGetter.cs                                         | C#        |         -6 |          0 |          0 |         -6 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Mac\AkMacSettings.cs                                               | C#        |        -19 |          0 |         -2 |        -21 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Mac\AkSoundEngine.cs                                               | C#        |         -9 |         -5 |         -1 |        -15 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\AkWaapiClient.cs                                             | C#        |        -70 |        -55 |        -19 |       -144 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\AkWaapiHelper.cs                                             | C#        |       -363 |        -98 |        -45 |       -506 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\AkWaapiUtilities.cs                                          | C#        |       -669 |       -312 |       -100 |     -1,081 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\Uri.cs                                                       | C#        |       -195 |       -139 |         -2 |       -336 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\Wamp.cs                                                      | C#        |       -410 |       -104 |        -80 |       -594 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Windows\AkSoundEngine.cs                                           | C#        |         -9 |         -5 |         -1 |        -15 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Windows\AkWindowsBasePathGetter.cs                                 | C#        |         -6 |          0 |          0 |         -6 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Windows\AkWindowsSettings.cs                                       | C#        |        -49 |          0 |        -10 |        -59 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseAcousticTextureReference.cs                       | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseAuxBusReference.cs                                | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseBankReference.cs                                  | C#        |        -64 |         -7 |        -16 |        -87 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseEventReference.cs                                 | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseObjectReference.cs                                | C#        |       -315 |        -31 |        -66 |       -412 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseObjectType.cs                                     | C#        |        -19 |         -8 |         -2 |        -29 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseRtpcReference.cs                                  | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseStateGroupReference.cs                            | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseStateReference.cs                                 | C#        |        -13 |         -6 |         -5 |        -24 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseSwitchGroupReference.cs                           | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseSwitchReference.cs                                | C#        |        -13 |         -6 |         -5 |        -24 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseTriggerReference.cs                               | C#        |         -4 |         -6 |         -2 |        -12 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseAcousticTexture.cs                                | C#        |        -16 |         -1 |         -3 |        -20 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseAuxBus.cs                                         | C#        |        -16 |         -1 |         -3 |        -20 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseBank.cs                                           | C#        |        -55 |         -1 |         -8 |        -64 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseBaseGroupType.cs                                  | C#        |        -54 |         -1 |         -7 |        -62 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseBaseType.cs                                       | C#        |        -79 |         -1 |        -13 |        -93 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseCallbackFlags.cs                                  | C#        |       -101 |         -5 |        -22 |       -128 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseEvent.cs                                          | C#        |       -129 |        -47 |        -22 |       -198 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseRtpc.cs                                           | C#        |        -48 |         -1 |         -8 |        -57 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseState.cs                                          | C#        |        -25 |         -1 |         -4 |        -30 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseSwitch.cs                                         | C#        |        -25 |         -1 |         -4 |        -30 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseTrigger.cs                                        | C#        |        -24 |         -1 |         -4 |        -29 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseTypes\AkWwiseTypeMigration.cs                                  | C#        |       -178 |         -4 |        -31 |       -213 |
| d:\3. SAP\Moonweaver\Assets\Wwise\API\package.json                                                                           | JSON      |        -21 |          0 |          0 |        -21 |
| d:\3. SAP\Moonweaver\Assets\Wwise\LauncherInfo.json                                                                          | JSON      |        -44 |          0 |          0 |        -44 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\CHANGELOG.md                                                                 | Markdown  |          0 |          0 |         -1 |         -1 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkAmbientInspector.cs                                                 | C#        |       -266 |        -15 |        -52 |       -333 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkAudioListenerInspector.cs                                           | C#        |        -22 |         -5 |         -3 |        -30 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkBankInspector.cs                                                    | C#        |        -52 |         -5 |        -10 |        -67 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkBaseInspector.cs                                                    | C#        |        -18 |         -5 |         -9 |        -32 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkEnvironmentInspector.cs                                             | C#        |        -52 |         -6 |        -15 |        -73 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkEnvironmentPortalInspector.cs                                       | C#        |       -158 |         -7 |        -30 |       -195 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkEventInspector.cs                                                   | C#        |       -231 |         -7 |        -39 |       -277 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkGameObjListenerListDrawer.cs                                        | C#        |        -72 |         -8 |        -18 |        -98 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkGameObjectInspector.cs                                              | C#        |       -145 |        -10 |        -33 |       -188 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkPortalManager.cs                                                    | C#        |       -138 |        -25 |        -28 |       -191 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkRoomAwareObjectInspector.cs                                         | C#        |        -54 |         -5 |         -8 |        -67 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkRoomInspector.cs                                                    | C#        |        -85 |         -6 |        -16 |       -107 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkRoomPortalInspector.cs                                              | C#        |        -62 |         -5 |        -20 |        -87 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkSpatialAudioListenerInspector.cs                                    | C#        |        -12 |         -5 |         -1 |        -18 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkStateInspector.cs                                                   | C#        |        -16 |         -5 |         -4 |        -25 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkSwitchInspector.cs                                                  | C#        |        -16 |         -5 |         -4 |        -25 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\AkUnityEventHandlerInspector.cs                                       | C#        |       -116 |         -7 |        -24 |       -147 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\EditorPlatformHelpers\Mac\AkMacPluginActivator.cs                     | C#        |        -11 |          0 |          0 |        -11 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\EditorPlatformHelpers\Windows\AkWindowsPluginActivator.cs             | C#        |        -13 |          0 |          0 |        -13 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\WwiseSetupWizard\AkBuildPreprocessor.cs                               | C#        |       -106 |         -6 |        -23 |       -135 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\WwiseSetupWizard\AkUnitySettingsParser.cs                             | C#        |        -84 |        -20 |        -21 |       -125 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\WwiseSetupWizard\AkWSAUtils.cs                                        | C#        |         -8 |          0 |          0 |         -8 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\WwiseSetupWizard\AkWwisePostImportCallbackSetup.cs                    | C#        |       -271 |        -20 |        -56 |       -347 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\WwiseSetupWizard\AkWwiseSetupWizard.cs                                | C#        |       -489 |        -28 |       -129 |       -646 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Editor\WwiseSetupWizard\AkXboxOneUtils.cs                                    | C#        |        -35 |          0 |         -4 |        -39 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\LICENSE.md                                                                   | Markdown  |         -8 |          0 |         -3 |        -11 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\README.md                                                                    | Markdown  |         -8 |          0 |         -8 |        -16 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkAmbient.cs                                                         | C#        |       -241 |        -14 |        -46 |       -301 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkAmbientLargeModePositioner.cs                                      | C#        |        -34 |         -4 |         -5 |        -43 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkAudioListener.cs                                                   | C#        |       -136 |        -20 |        -32 |       -188 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkBank.cs                                                            | C#        |        -98 |        -13 |        -23 |       -134 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkEarlyReflections.cs                                                | C#        |        -27 |         -9 |         -4 |        -40 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkEmitterObstructionOcclusion.cs                                     | C#        |        -32 |         -6 |         -5 |        -43 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkEnvironment.cs                                                     | C#        |        -99 |        -23 |        -24 |       -146 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkEnvironmentPortal.cs                                               | C#        |        -58 |        -16 |        -19 |        -93 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkEvent.cs                                                           | C#        |       -157 |        -23 |        -38 |       -218 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkEventCallbackData.cs                                               | C#        |        -10 |         -9 |         -5 |        -24 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkGameObj.cs                                                         | C#        |       -303 |        -32 |        -75 |       -410 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkGameObjEnvironmentData.cs                                          | C#        |       -152 |         -9 |        -31 |       -192 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkGameObjListenerList.cs                                             | C#        |        -62 |         -5 |        -13 |        -80 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkGameObjPosOffsetData.cs                                            | C#        |         -6 |         -7 |         -4 |        -17 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkGameObjPositionData.cs                                             | C#        |         -8 |         -5 |         -2 |        -15 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkGameObjPositionOffsetData.cs                                       | C#        |        -12 |         -7 |         -3 |        -22 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkInitializer.cs                                                     | C#        |       -143 |        -16 |        -33 |       -192 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkMemBankLoader.cs                                                   | C#        |       -101 |        -15 |        -21 |       -137 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkObstructionOcclusion.cs                                            | C#        |        -91 |        -11 |        -27 |       -129 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRadialEmitter.cs                                                   | C#        |       -122 |        -16 |        -25 |       -163 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoom.cs                                                            | C#        |       -399 |        -18 |        -69 |       -486 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomAwareManager.cs                                                | C#        |        -63 |         -7 |        -14 |        -84 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomAwareObject.cs                                                 | C#        |        -55 |        -17 |        -15 |        -87 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomManager.cs                                                     | C#        |       -117 |         -7 |        -14 |       -138 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomPortal.cs                                                      | C#        |       -244 |        -18 |        -60 |       -322 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomPortalObstruction.cs                                           | C#        |        -23 |         -7 |         -4 |        -34 |
| d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkSoundEngineController.cs                                           | C#        |       -271 |        -11 |        -55 |       -337 |
